Fecha,"USDCOP Curncy PX_LAST","USDCOP Curncy PX_LOW","USDCOP Curncy PX_HIGH","USDCOP Curncy PX_OPEN","USDCOPV1W Curncy PX_LAST","USDCOPV1M Curncy PX_LAST","USDCOPV2M Curncy PX_LAST","USDCOPV3M Curncy PX_LAST","USDCOPV6M Curncy PX_LAST","USDCOPV9M Curncy PX_LAST","USDCOPV1Y Curncy PX_LAST","USDCOP25R1W Curncy PX_LAST","USDCOP25R1M Curncy PX_LAST","USDCOP25R2M Curncy PX_LAST","USDCOP25R3M Curncy PX_LAST","USDCOP25R6M Curncy PX_LAST","USDCOP25R9M Curncy PX_LAST","USDCOP25R1Y Curncy PX_LAST","USDCOP25B1W Curncy PX_LAST","USDCOP25B1M Curncy PX_LAST","USDCOP25B2M Curncy PX_LAST","USDCOP25B3M Curncy PX_LAST","USDCOP25B6M Curncy PX_LAST","USDCOP25B9M Curncy PX_LAST","USDCOP25B1Y Curncy PX_LAST","USDCOP10R1W Curncy PX_LAST","USDCOP10R1M Curncy PX_LAST","USDCOP10R2M Curncy PX_LAST","USDCOP10R3M Curncy PX_LAST","USDCOP10R6M Curncy PX_LAST","USDCOP10R9M Curncy PX_LAST","USDCOP10R1Y Curncy PX_LAST","USDCOP10B1W Curncy PX_LAST","USDCOP10B1M Curncy PX_LAST","USDCOP10B2M Curncy PX_LAST","USDCOP10B3M Curncy PX_LAST","USDCOP10B6M Curncy PX_LAST","USDCOP10B9M Curncy PX_LAST","USDCOP10B1Y Curncy PX_LAST","COP1W Curncy PX_LAST","COP1M Curncy PX_LAST","COP2M Curncy PX_LAST","COP3M Curncy PX_LAST","COP6M Curncy PX_LAST","COP9M Curncy PX_LAST","COP12M Curncy PX_LAST"
2013-04-26,1834.44,1829.54,1835.64,1830.31,6.775,6.825,7.01,7.155,7.685,8.09,8.4625,1.095,1.4925,1.7025,1.985,2.775,3.065,3.4275,0.51,0.5175,0.58,0.7,0.835,0.9425,1.0475,1.325,2.7,3.1825,3.765,4.85,5.4375,6.1375,2.465,2.14,2.3975,2.76,3.05,3.1925,3.385,1.02,4.75,9.27,14.5,29.19,43.63,57.25
2013-04-29,1827.35,1826.8,1833.85,1833.8,6.24,6.4125,6.6225,6.92,7.3875,7.7925,8.1625,1.09,1.5025,1.77,2.08,2.76,3.0575,3.4275,0.49,0.4825,0.5575,0.685,0.825,0.9225,1.025,0.91,2.505,3.085,3.715,4.835,5.4225,6.1225,2.46,2.065,2.3375,2.7325,3.02,3.1575,3.35,0.9,4.3,8.8,14.5,28.9,42.75,56.8
2013-04-30,1824.95,1824.2,1827.45,1827.05,6.625,6.515,6.78,7.065,7.435,7.7625,8.0625,1.155,1.52,1.72,1.99,2.785,3.0625,3.4225,0.52,0.535,0.59,0.71,0.85,0.96,1.065,1.52,2.76,3.2475,3.8,4.8575,5.435,6.1375,2.48,2.2,2.42,2.79,3.0675,3.2,3.3925,0.93,4.25,8.9,14.25,29,42.9,57.13
2013-05-01,1825.07,1824.95,1829.74,1826,6.25,6.4425,6.67,6.965,7.4075,7.7575,8.0275,1.07,1.495,1.755,2.07,2.75,3.05,3.425,0.475,0.4775,0.5475,0.67,0.81,0.9125,1.0175,0.885,2.5025,3.0675,3.685,4.805,5.4125,6.1125,2.4,2.0125,2.275,2.665,2.9525,3.09,3.28,0.93,4.25,8.9,14.25,29,42.9,57.25
2013-05-02,1837.93,1829.63,1839.4,1829.63,7.4,7.275,7.39,7.49,7.7375,8.0475,8.4025,1.16,1.525,1.7375,2,2.79,3.075,3.4275,0.515,0.5375,0.5975,0.715,0.8525,0.965,1.07,1.795,2.785,3.2825,3.815,4.8675,5.4575,6.145,2.385,2.22,2.4775,2.845,3.1325,3.27,3.4575,1.23,5,10,15,29.5,43.25,56.5
2013-05-03,1834.38,1833.3,1839.26,1838.5,7.325,7.1925,7.3175,7.44,7.775,8.125,8.4775,1.155,1.5275,1.74,2.005,2.79,3.0775,3.43,0.52,0.54,0.6025,0.72,0.855,0.9675,1.0725,1.785,2.785,3.2825,3.815,4.87,5.46,6.1475,2.4125,2.245,2.505,2.875,3.16,3.3,3.4875,1.13,5,9.85,14.85,30,43.5,58.75
2013-05-06,1829.15,1828.38,1836.9,1834.29,7.31,7.0575,7.21,7.435,7.695,8.09,8.415,1.165,1.5325,1.7325,2.01,2.795,3.075,3.43,0.525,0.55,0.6025,0.725,0.86,0.9725,1.08,1.795,2.785,3.26,3.82,4.875,5.455,6.1525,2.4425,2.285,2.52,2.905,3.19,3.325,3.5175,1.03,5,9.75,14.75,30,43.75,58.35
2013-05-07,1827,1821.83,1830.8,1828.55,7.025,6.83,7.035,7.22,7.4975,8.005,8.33,1.145,1.53,1.74,2.01,2.7975,3.0775,3.435,0.53,0.55,0.61,0.73,0.865,0.9725,1.08,1.25,2.755,3.255,3.805,4.875,5.455,6.16,2.52,2.31,2.555,2.925,3.2125,3.35,3.545,1.06,4.67,9.75,15.13,30.8,45.5,60.5
2013-05-08,1830.82,1826.6,1832.65,1827.4,7.48,6.82,7.0025,7.1575,7.5025,8.14,8.505,1.185,1.55,1.7525,2.0175,2.805,3.0775,3.435,0.54,0.5625,0.6175,0.74,0.875,0.9825,1.09,1.38,2.8025,3.2925,3.8325,4.885,5.46,6.16,2.55,2.3575,2.5975,2.9675,3.25,3.385,3.58,1.09,5,10.25,15.5,31.59,46.75,61.97
2013-05-09,1830.05,1828,1837,1830.6,7.125,6.98,7.1925,7.425,7.7,8.1025,8.4075,1.12,1.52,1.75,2.0175,2.7975,3.08,3.4425,0.53,0.5475,0.615,0.73,0.8675,0.9725,1.0775,1.635,2.7225,3.2575,3.7925,4.875,5.4625,6.1625,2.51,2.33,2.6025,2.97,3.265,3.4025,3.5975,1.13,5.21,10,15.5,31.27,46.75,61
2013-05-10,1833.98,1829.6,1836.84,1829.7,7.32,7.09,7.2575,7.435,7.71,8.1525,8.575,1.15,1.58,1.785,2.07,2.7925,3.065,3.455,0.54,0.525,0.5825,0.69,0.8175,0.9175,1.01,1.7,2.76,3.22,3.765,4.7825,5.325,6.05,2.545,2.2,2.445,2.785,3.0575,3.185,3.37,1.17,5.59,10.5,16,31.5,47,61
2013-05-13,1833.85,1832.96,1837.75,1833.95,7.045,6.925,7.1525,7.4025,7.745,8.1275,8.4525,0.895,1.41,1.675,1.985,2.7225,3.0325,3.4125,0.485,0.455,0.525,0.63,0.7625,0.8525,0.94,1.005,2.5475,3.0375,3.625,4.7225,5.3,6.0075,2.39,1.975,2.2425,2.59,2.8825,3.0275,3.195,1.17,5.59,10.5,16,31.5,46.75,61
2013-05-14,1839.43,1833.88,1841.55,1833.9,7.2,7.045,7.2075,7.385,7.715,8.13,8.49,0.83,1.4675,1.7675,2.07,2.785,3.09,3.475,0.47,0.4225,0.51,0.6125,0.745,0.825,0.9125,0.805,2.4475,3.025,3.5975,4.7375,5.305,5.99,2.335,1.85,2.185,2.5175,2.815,2.955,3.12,1.15,5.25,10.25,15.75,31.31,46.75,62.28
