Fecha,"USDMXN Curncy PX_LAST","USDMXN Curncy PX_LOW","USDMXN Curncy PX_HIGH","USDMXN Curncy PX_OPEN","USDMXNV1W Curncy PX_LAST","USDMXNV1M Curncy PX_LAST","USDMXNV2M Curncy PX_LAST","USDMXNV3M Curncy PX_LAST","USDMXNV6M Curncy PX_LAST","USDMXNV9M Curncy PX_LAST","USDMXNV1Y Curncy PX_LAST","USDMXN25R1W Curncy PX_LAST","USDMXN25R1M Curncy PX_LAST","USDMXN25R2M Curncy PX_LAST","USDMXN25R3M Curncy PX_LAST","USDMXN25R6M Curncy PX_LAST","USDMXN25R9M Curncy PX_LAST","USDMXN25R1Y Curncy PX_LAST","USDMXN25B1W Curncy PX_LAST","USDMXN25B1M Curncy PX_LAST","USDMXN25B2M Curncy PX_LAST","USDMXN25B3M Curncy PX_LAST","USDMXN25B6M Curncy PX_LAST","USDMXN25B9M Curncy PX_LAST","USDMXN25B1Y Curncy PX_LAST","USDMXN10R1W Curncy PX_LAST","USDMXN10R1M Curncy PX_LAST","USDMXN10R2M Curncy PX_LAST","USDMXN10R3M Curncy PX_LAST","USDMXN10R6M Curncy PX_LAST","USDMXN10R9M Curncy PX_LAST","USDMXN10R1Y Curncy PX_LAST","USDMXN10B1W Curncy PX_LAST","USDMXN10B1M Curncy PX_LAST","USDMXN10B2M Curncy PX_LAST","USDMXN10B3M Curncy PX_LAST","USDMXN10B6M Curncy PX_LAST","USDMXN10B9M Curncy PX_LAST","USDMXN10B1Y Curncy PX_LAST","MXN1W Curncy PX_LAST","MXN1M Curncy PX_LAST","MXN2M Curncy PX_LAST","MXN3M Curncy PX_LAST","MXN6M Curncy PX_LAST","MXN9M Curncy PX_LAST","MXN12M Curncy PX_LAST"
2010-01-25,12.8571,12.8485,12.9758,12.9611,13.98,13.545,13.48,13.555,13.782,14.2425,14.532,2.725,2.655,3.1725,3.805,4.31,4.47,4.57,0.71,0.79,0.83,0.895,0.99,1.08,1.1475,5.205,5.34,6.36,7.5225,8.36,8.59,8.9175,2.555,2.735,2.925,3.08,3.305,3.605,3.8425,107.5,460,941.25,1400,2922.5,4555,6366.24
2010-01-26,12.8707,12.8008,12.9746,12.8598,14.125,13.54,13.685,13.875,14.025,14.415,14.682,2.5175,2.45,2.9625,3.705,4.2575,4.4375,4.5975,0.635,0.71,0.77,0.865,1.0075,1.09,1.165,4.7275,4.77,5.75,7.155,8.155,8.48,8.86,2.275,2.455,2.695,2.9,3.2,3.4825,3.7275,108.5,450,935,1410,2920,4522.5,6407.49
2010-01-27,12.9612,12.8184,13.0085,12.8706,14.64,13.945,14.015,14.07,14.145,14.49,14.745,2.4575,2.2425,2.8175,3.635,4.185,4.395,4.6025,0.62,0.67,0.75,0.88,1.015,1.095,1.1725,4.645,4.5425,5.665,7.175,8.17,8.575,9.025,1.95,2.115,2.435,2.715,2.965,3.1475,3.325,105.75,425,941.25,1422.5,2920,4500,6387.71
2010-01-28,13.0663,12.8905,13.0851,12.9615,15.16,14.125,14.23,14.263,14.36,14.58,14.802,2.4075,2.25,2.815,3.64,4.2,4.4375,4.62,0.62,0.66,0.74,0.865,1.01,1.0825,1.155,4.5675,4.515,5.6025,7.1175,8.105,8.46,8.8625,1.975,2.14,2.455,2.7,2.9625,3.155,3.3275,98.25,415,940,1397.5,2907.5,4531.25,6443.61
2010-01-29,13.095,12.9418,13.105,13.067,14.965,14.09,14.13,14.205,14.368,14.63,14.837,2.3225,2.39,3.08,3.725,4.27,4.6725,4.6825,0.685,0.71,0.82,0.9575,1.08,1.13,1.18,4.6725,4.84,6.0625,7.3525,8.365,8.705,9.01,2.35,2.48,2.79,3.015,3.27,3.41,3.5325,101.25,415,931.25,1390,2910,4531.25,6421.69
2010-02-01,12.8773,12.8748,13.095,13.095,14.485,13.985,14.02,14.068,14.255,14.515,14.73,1.8675,1.88,2.9575,3.675,4.3125,4.5725,4.705,0.57,0.625,0.725,0.865,1.015,1.085,1.1575,3.545,3.555,5.5025,6.9175,8.1075,8.485,8.86,1.85,2.0625,2.435,2.705,3,3.22,3.39,100.25,405,915,1367.5,2870,4450,6433.36
2010-02-02,12.8629,12.8403,12.94,12.8772,14.1,13.68,13.84,13.88,14.175,14.455,14.693,2.0825,2.185,2.8825,3.595,4.175,4.4925,4.65,0.6,0.655,0.7325,0.86,1,1.075,1.1425,3.985,4.33,5.5925,6.9725,8.0875,8.43,8.7975,1.92,2.16,2.465,2.7,2.97,3.175,3.3375,103.25,421,922.5,1402.5,2920,4510,6301.37
2010-02-03,12.95,12.8293,12.9781,12.863,13.98,13.552,13.715,13.843,14.025,14.325,14.54,2.09,2.29,3.05,3.5925,4.1525,4.475,4.4,0.68,0.7025,0.825,0.9625,1.1,1.145,1.225,4.3,5.09,6.405,7.425,8.385,8.5475,8.75,2.335,2.4675,2.8,3.0325,3.335,3.49,3.655,106.75,435,932.5,1430,2950,4566.25,6426.39
2010-02-04,13.1659,12.9391,13.1758,12.9498,14.99,14.028,14.125,14.155,14.32,14.605,14.788,2.24,2.285,2.8125,3.585,4.24,4.4725,4.6125,0.625,0.67,0.75,0.875,1.02,1.0875,1.1575,4.3075,4.59,5.64,7.0325,8.155,8.505,8.8725,2.01,2.195,2.505,2.735,3.005,3.18,3.34,125.25,442.5,945,1470,2995,4625,6388.93
2010-02-05,13.1409,13.1013,13.2529,13.1678,15.49,14.315,14.42,14.415,14.455,14.655,14.757,2.2925,2.29,2.8125,3.5375,4.13,4.3125,4.4675,0.66,0.71,0.785,0.905,1.04,1.105,1.1725,4.49,5.005,6.1075,7.3175,8.305,8.575,8.9575,2.09,2.26,2.55,2.795,3.045,3.195,3.3525,113.5,457,959,1474.25,3014.5,4625,6514.16
2010-02-08,13.2168,13.112,13.2446,13.163,15.28,14.225,14.345,14.42,14.425,14.625,14.72,2.2625,2.51,3.2375,3.57,4.2475,4.495,4.41,0.66,0.7,0.83,0.94,1.11,1.15,1.23,4.54,5.37,6.665,7.3175,8.46,8.64,8.7675,2.275,2.39,2.73,2.96,3.29,3.4375,3.625,112.5,447.5,980,1440,3020,4600,6393.77
2010-02-09,13.0103,12.9977,13.2375,13.2168,14.355,14.01,14.18,14.175,14.315,14.5025,14.667,2.09,2.465,3.0675,3.5525,4.245,4.4125,4.51,0.605,0.685,0.785,0.895,1.045,1.11,1.18,3.99,4.97,6.175,7.1175,8.3175,8.6275,8.9225,1.925,2.13,2.465,2.75,3.015,3.195,3.375,111.25,440,952.5,1420,2977.5,4550,6347.62
