Fecha,"EURMXN Curncy PX_LAST","EURMXN Curncy PX_LOW","EURMXN Curncy PX_HIGH","EURMXN Curncy PX_OPEN","EURMXNV1W Curncy PX_LAST","EURMXNV1M Curncy PX_LAST","EURMXNV2M Curncy PX_LAST","EURMXNV3M Curncy PX_LAST","EURMXNV6M Curncy PX_LAST","EURMXNV9M Curncy PX_LAST","EURMXNV1Y Curncy PX_LAST","EURMXN25R1W Curncy PX_LAST","EURMXN25R1M Curncy PX_LAST","EURMXN25R2M Curncy PX_LAST","EURMXN25R3M Curncy PX_LAST","EURMXN25R6M Curncy PX_LAST","EURMXN25R9M Curncy PX_LAST","EURMXN25R1Y Curncy PX_LAST","EURMXN25B1W Curncy PX_LAST","EURMXN25B1M Curncy PX_LAST","EURMXN25B2M Curncy PX_LAST","EURMXN25B3M Curncy PX_LAST","EURMXN25B6M Curncy PX_LAST","EURMXN25B9M Curncy PX_LAST","EURMXN25B1Y Curncy PX_LAST","EURMXN10R1W Curncy PX_LAST","EURMXN10R1M Curncy PX_LAST","EURMXN10R2M Curncy PX_LAST","EURMXN10R3M Curncy PX_LAST","EURMXN10R6M Curncy PX_LAST","EURMXN10R9M Curncy PX_LAST","EURMXN10R1Y Curncy PX_LAST","EURMXN10B1W Curncy PX_LAST","EURMXN10B1M Curncy PX_LAST","EURMXN10B2M Curncy PX_LAST","EURMXN10B3M Curncy PX_LAST","EURMXN10B6M Curncy PX_LAST","EURMXN10B9M Curncy PX_LAST","EURMXN10B1Y Curncy PX_LAST","EURMXN1W Curncy PX_LAST","EURMXN1M Curncy PX_LAST","EURMXN2M Curncy PX_LAST","EURMXN3M Curncy PX_LAST","EURMXN6M Curncy PX_LAST","EURMXN9M Curncy PX_LAST","EURMXN12M Curncy PX_LAST"
2010-01-15,18.267,18.2056,18.3928,18.3734,10.625,10.96,11.563,11.903,12.563,13.0925,13.557,0.48,1.7625,2.8125,4.19,5.025,5.2775,5.625,0.595,0.685,0.7725,0.84,0.9825,1.0775,1.21,0.84,3.2475,5.21,7.7675,9.3525,9.865,10.4075,2.675,2.49,2.775,2.95,3.3975,3.7325,4.115,140.4524,671.8971,1252.7578,1932.3904,4036.709,6184.6765,8601.6631
2010-01-18,18.2096,18.1908,18.3278,18.2339,10.58,10.96,11.557,11.94,12.587,13.095,13.545,0.78,1.8275,2.82,4.195,5.03,5.2775,5.625,0.595,0.685,0.7675,0.84,0.98,1.0775,1.2075,1.365,3.3625,5.21,7.7675,9.3525,9.865,10.4075,2.6775,2.48,2.7675,2.95,3.3925,3.7275,4.1075,139.3201,689.0642,1279.8915,1933.7095,4047.6758,6244.5867,8494.3409
2010-01-19,18.0601,18.0065,18.253,18.2095,10.305,10.943,11.47,11.882,12.585,13.1025,13.56,0.78,1.8275,2.8125,4.19,5.025,5.2775,5.625,0.5875,0.68,0.7625,0.835,0.9775,1.0775,1.2075,1.365,3.3625,5.21,7.7675,9.3525,9.865,10.4075,2.63,2.465,2.7425,2.9375,3.385,3.7225,4.1075,132.9091,637.6483,1204.2315,1888.2751,3944.8044,6056.7683,8267.4775
2010-01-20,17.9927,17.8959,18.0785,18.0601,10.945,11.282,11.75,12.095,12.728,13.2125,13.65,0.84,1.9525,3.1325,4.25,5.2125,5.4325,5.75,0.585,0.69,0.7775,0.84,0.99,1.0875,1.2175,1.47,3.5925,5.8,7.8775,9.6975,10.1525,10.6375,2.615,2.5,2.7725,2.95,3.4025,3.7375,4.12,135.6478,628.154,1205.4552,1893.0647,3939.727,6075.0515,8668.8838
2010-01-21,18.2598,17.8716,18.2784,17.9918,12.145,11.69,12,12.275,12.75,13.2525,13.698,2.82,2.8975,3.5625,4.335,5.215,5.435,5.75,0.585,0.725,0.7775,0.835,0.9675,1.0875,1.22,4.935,5.3325,6.595,7.9775,9.6975,10.1525,10.6375,2.295,2.555,2.7125,2.9225,3.3075,3.7425,4.1275,160.5447,653.7033,1239.1796,1942.9502,4045.6894,6242.9695,8698.4014
2010-01-22,18.3056,18.2166,18.393,18.2599,12.31,11.955,12.358,12.7,12.97,13.4475,13.877,3.24,3.5275,3.9925,4.67,5.46,5.65,5.9375,0.6,0.755,0.8175,0.89,1.0025,1.1225,1.255,5.67,6.4925,7.395,8.6525,10.16,10.5575,10.985,2.3425,2.65,2.8425,3.0975,3.415,3.85,4.2325,147.405,658.2779,1251.3666,1935.4856,4030.2529,6235.7566,8692.5088
2010-01-25,18.2011,18.1721,18.3835,18.3576,12.198,11.925,12.267,12.655,12.987,13.4525,13.88,3,3.2125,3.93,4.67,5.46,5.65,5.9375,0.6,0.7525,0.8125,0.8875,1.0075,1.1275,1.2575,5.25,5.9125,7.28,8.6525,10.16,10.5575,10.985,2.34,2.6475,2.82,3.085,3.4275,3.8575,4.2375,149.5333,638.8349,1304.878,1939.7872,4013.0696,6176.3718,8610.8292
2010-01-26,18.1116,18.0396,18.259,18.2011,12.595,12.04,12.507,12.977,13.282,13.6375,13.995,3.06,3.3375,3.9925,4.67,5.46,5.68,6,0.6225,0.76,0.8275,0.9125,1.0275,1.14,1.265,5.355,6.1425,7.395,8.6525,10.1625,10.615,11.1,2.43,2.67,2.875,3.1775,3.5025,3.9,4.2575,149.9123,620.7967,1287.8351,1941.7941,3981.1504,6084.991,8591.3936
2010-01-27,18.177,18.0401,18.2392,18.1116,13.14,12.485,12.813,13.132,13.532,13.8275,14.148,2.85,3.0525,3.655,4.51,5.2,5.41,5.7125,0.57,0.6425,0.7525,0.91,1.0225,1.1275,1.24,4.9875,5.6225,6.7675,8.3625,9.6725,10.1,10.5675,1.68,1.855,2.2725,2.7,2.9275,3.17,3.375,145.5754,583.9801,1291.1366,1951.4449,3955.7119,6012.9499,8457.3721
2010-01-28,18.2582,18.0685,18.2742,18.1772,13.507,12.427,12.727,13.045,13.333,13.68,14.035,2.6975,3.1475,3.7475,4.63,5.2,5.41,5.7125,0.6,0.655,0.7675,0.9175,1.0225,1.1225,1.2375,4.725,5.795,6.94,8.5825,9.6725,10.1,10.5675,1.77,1.885,2.3075,2.72,2.93,3.1675,3.3675,134.4872,567.645,1298.8216,1908.9851,3919.018,6018.2058,8539.6436
