Fecha,"USDBRL Curncy PX_LAST","USDBRL Curncy PX_LOW","USDBRL Curncy PX_HIGH","USDBRL Curncy PX_OPEN","USDBRLV1W Curncy PX_LAST","USDBRLV1M Curncy PX_LAST","USDBRLV2M Curncy PX_LAST","USDBRLV3M Curncy PX_LAST","USDBRLV6M Curncy PX_LAST","USDBRLV9M Curncy PX_LAST","USDBRLV1Y Curncy PX_LAST","USDBRL25R1W Curncy PX_LAST","USDBRL25R1M Curncy PX_LAST","USDBRL25R2M Curncy PX_LAST","USDBRL25R3M Curncy PX_LAST","USDBRL25R6M Curncy PX_LAST","USDBRL25R9M Curncy PX_LAST","USDBRL25R1Y Curncy PX_LAST","USDBRL25B1W Curncy PX_LAST","USDBRL25B1M Curncy PX_LAST","USDBRL25B2M Curncy PX_LAST","USDBRL25B3M Curncy PX_LAST","USDBRL25B6M Curncy PX_LAST","USDBRL25B9M Curncy PX_LAST","USDBRL25B1Y Curncy PX_LAST","USDBRL10R1W Curncy PX_LAST","USDBRL10R1M Curncy PX_LAST","USDBRL10R2M Curncy PX_LAST","USDBRL10R3M Curncy PX_LAST","USDBRL10R6M Curncy PX_LAST","USDBRL10R9M Curncy PX_LAST","USDBRL10R1Y Curncy PX_LAST","USDBRL10B1W Curncy PX_LAST","USDBRL10B1M Curncy PX_LAST","USDBRL10B2M Curncy PX_LAST","USDBRL10B3M Curncy PX_LAST","USDBRL10B6M Curncy PX_LAST","USDBRL10B9M Curncy PX_LAST","USDBRL10B1Y Curncy PX_LAST","BCN1W Curncy PX_LAST","BCN1M Curncy PX_LAST","BCN2M Curncy PX_LAST","BCN3M Curncy PX_LAST","BCN6M Curncy PX_LAST","BCN9M Curncy PX_LAST","BCN12M Curncy PX_LAST"
2010-09-09,1.7203,1.7195,1.7275,1.7228,10.5,11.335,12.215,12.74,13.96,14.9825,15.83,2.465,3.01,3.7075,4.2425,5.26,5.4625,5.66,0.495,0.5425,0.6,0.6675,0.8125,0.8775,0.9875,4.3725,5.41,6.735,7.7675,9.82,10.3125,10.65,1.475,1.645,1.825,2.0325,2.485,2.73,2.95,23.8,120,240,340,691,1057,1435.5
2010-09-10,1.7222,1.7157,1.723,1.7199,9.635,10.565,11.73,12.358,13.708,14.805,15.628,2.3375,2.9375,3.6475,4.21,5.1975,5.4125,5.5825,0.43,0.52,0.595,0.6875,0.84,0.8925,0.995,4.21,5.3425,6.685,7.785,9.795,10.31,10.6075,1.4,1.6375,1.8875,2.16,2.675,2.9,3.0925,23.33,106.01,218,330,681,993,1436.51
2010-09-13,1.7106,1.7099,1.7191,1.7175,9.69,10.698,11.68,12.28,13.695,14.76,15.68,2.48,3.0375,3.6225,4.1425,5.1825,5.41,5.605,0.36,0.4525,0.53,0.6075,0.7275,0.77,0.875,4.4625,5.4975,6.635,7.6125,9.6925,10.1725,10.5125,1.4225,1.7325,2.025,2.2725,2.8325,3.0725,3.27,22.87,104.25,195,338.75,643,1016,1390.5
2010-09-14,1.7099,1.7031,1.7166,1.7138,9.76,10.628,11.583,12.265,13.66,14.725,15.622,2.3475,2.9075,3.5725,4.16,5.2175,5.455,5.6425,0.3625,0.4475,0.5275,0.5975,0.7125,0.7575,0.86,4.215,5.2275,6.5,7.6175,9.7375,10.27,10.5975,1.395,1.6925,1.985,2.215,2.7275,2.975,3.18,20.13,157.5,193.5,311.49,655.5,968.5,1412
2010-09-15,1.7236,1.7089,1.729,1.7097,10.715,11.172,11.97,12.61,13.86,14.8625,15.73,2.2975,2.85,3.5225,4.1175,5.18,5.405,5.595,0.3975,0.4475,0.5275,0.6075,0.74,0.78,0.88,4.1225,5.1725,6.465,7.5875,9.7025,10.2,10.5325,1.26,1.7175,2,2.2625,2.82,3.055,3.2575,20.55,135.5,205,327,681,1063,1455.5
2010-09-16,1.7118,1.7115,1.7248,1.7231,10.22,10.828,11.805,12.47,13.79,14.83,15.67,2.26,2.8225,3.5875,4.1325,5.2625,5.4775,5.6525,0.46,0.5225,0.5925,0.6725,0.815,0.87,0.9675,4.0275,5.1075,6.5625,7.6275,9.91,10.4475,10.75,1.435,1.6425,1.86,2.1075,2.57,2.8,3.01,23.8,103.25,204,318.5,648,1040,1423.5
2010-09-17,1.7213,1.7103,1.7231,1.7113,10.4,10.865,11.825,12.525,13.788,14.8075,15.545,2.115,2.765,3.565,4.12,5.27,5.4875,5.6725,0.5,0.545,0.6075,0.675,0.8125,0.8775,0.9825,3.75,4.97,6.4825,7.5975,9.94,10.4975,10.83,1.4425,1.625,1.8075,2.0525,2.49,2.735,2.97,25.2,112.5,212.5,329.5,657.51,1057.51,1444
2010-09-20,1.7331,1.7132,1.735,1.7227,10.755,10.913,11.85,12.468,13.82,14.8375,15.475,1.9375,3.0025,3.725,4.1675,6.245,6.555,6.3325,0.4925,0.385,0.44,0.4975,0.75,0.945,0.88,3.475,5.475,6.855,7.7675,10.56,11.1,11.42,0.9025,1.5675,1.6275,1.855,1.6775,1.9575,2.25,25.9,112.5,206,333.5,665,1074,1466.5
2010-09-21,1.7108,1.7094,1.734,1.7315,10.51,10.908,11.845,12.483,13.75,14.77,15.645,2.2175,2.7925,3.5575,4.2175,5.335,5.5325,5.755,0.4425,0.4925,0.5675,0.6675,0.8375,0.8925,0.995,3.985,5.0075,6.4575,7.7,9.885,10.35,10.72,1.3975,1.5575,1.76,2.055,2.57,2.8025,2.9925,23.19,102.01,191.5,319.5,641.5,1042.5,1436
2010-09-22,1.7183,1.7037,1.7236,1.7144,10.835,11.105,11.85,12.61,13.767,14.74,15.513,2.0775,2.78,3.6,4.2525,5.4425,5.6125,5.765,0.44,0.5225,0.5975,0.6825,0.825,0.8775,0.98,3.6925,5.0025,6.56,7.835,10.2375,10.6925,10.9675,1.3775,1.6275,1.83,2.075,2.5225,2.765,2.98,22.58,104.5,212,335,693,1086,1489.5
2010-09-23,1.723,1.7143,1.7254,1.723,10.685,10.95,11.958,12.64,13.845,14.785,15.542,2.1675,2.835,3.6425,4.35,5.435,5.5675,5.78,0.4375,0.5225,0.655,0.7075,0.87,0.915,1.035,3.8675,5.12,6.6125,8.0325,10.2375,10.595,10.9575,1.405,1.66,1.845,2.1325,2.6125,2.8625,3.075,26.13,169.99,211.5,321.5,664.5,1072.5,1462
2010-09-24,1.7109,1.7074,1.7208,1.7208,10.58,10.935,11.972,12.69,13.913,14.8525,15.545,1.9575,2.7925,3.68,4.3275,5.4575,5.58,5.7475,0.3825,0.4925,0.58,0.6725,0.81,0.855,0.9325,3.5225,5.05,6.7175,7.975,10.2575,10.6175,10.955,1.2325,1.57,1.84,2.105,2.5575,2.7775,2.96,25.9,111.49,212.5,324.5,647.5,1026.5,1434
2010-09-27,1.7106,1.707,1.7139,1.7109,10.54,10.91,11.903,12.688,13.908,14.85,15.59,2.1875,2.7775,3.67,4.4,5.44,5.605,5.8475,0.4375,0.4925,0.56,0.6425,0.775,0.825,0.9475,3.9225,4.8825,6.52,7.8825,9.895,10.2625,10.64,1.3925,1.51,1.6625,1.9075,2.3125,2.5225,2.765,25.2,141.51,209.49,324,671.25,1036.5,1455.75
2010-09-28,1.7079,1.7045,1.7138,1.7119,10.05,10.765,11.813,12.66,13.802,14.7775,15.517,2.0975,2.6825,3.625,4.41,5.455,5.5775,5.8175,0.4625,0.52,0.595,0.68,0.83,0.8875,0.9975,3.7125,4.8075,6.565,8.105,10.1975,10.5425,10.95,1.3975,1.5675,1.765,2.0325,2.4825,2.7175,2.94,23.66,112.5,196.75,319.25,636.75,1033.74,1425.25
