Fecha,"EURUSD Curncy PX_LAST","EURUSD Curncy PX_LOW","EURUSD Curncy PX_HIGH","EURUSD Curncy PX_OPEN","EURUSDV1W Curncy PX_LAST","EURUSDV1M Curncy PX_LAST","EURUSDV2M Curncy PX_LAST","EURUSDV3M Curncy PX_LAST","EURUSDV6M Curncy PX_LAST","EURUSDV9M Curncy PX_LAST","EURUSDV1Y Curncy PX_LAST","EURUSD25R1W Curncy PX_LAST","EURUSD25R1M Curncy PX_LAST","EURUSD25R2M Curncy PX_LAST","EURUSD25R3M Curncy PX_LAST","EURUSD25R6M Curncy PX_LAST","EURUSD25R9M Curncy PX_LAST","EURUSD25R1Y Curncy PX_LAST","EURUSD25B1W Curncy PX_LAST","EURUSD25B1M Curncy PX_LAST","EURUSD25B2M Curncy PX_LAST","EURUSD25B3M Curncy PX_LAST","EURUSD25B6M Curncy PX_LAST","EURUSD25B9M Curncy PX_LAST","EURUSD25B1Y Curncy PX_LAST","EURUSD10R1W Curncy PX_LAST","EURUSD10R1M Curncy PX_LAST","EURUSD10R2M Curncy PX_LAST","EURUSD10R3M Curncy PX_LAST","EURUSD10R6M Curncy PX_LAST","EURUSD10R9M Curncy PX_LAST","EURUSD10R1Y Curncy PX_LAST","EURUSD10B1W Curncy PX_LAST","EURUSD10B1M Curncy PX_LAST","EURUSD10B2M Curncy PX_LAST","EURUSD10B3M Curncy PX_LAST","EURUSD10B6M Curncy PX_LAST","EURUSD10B9M Curncy PX_LAST","EURUSD10B1Y Curncy PX_LAST","EUR1W Curncy PX_LAST","EUR1M Curncy PX_LAST","EUR2M Curncy PX_LAST","EUR3M Curncy PX_LAST","EUR6M Curncy PX_LAST","EUR9M Curncy PX_LAST","EUR12M Curncy PX_LAST"
2011-12-07,1.3412,1.3351,1.3454,1.3402,14.99,13.935,14.735,14.9575,15.155,15.275,15.355,-0.6725,-2.18,-2.8475,-3.3425,-3.7,-3.84,-3.985,0.255,0.3625,0.4525,0.5325,0.645,0.68,0.685,-1.19,-4.02,-5.2175,-6.1775,-6.905,-7.25,-7.615,0.9125,1.05,1.3075,1.5475,1.9625,2.0275,2.2575,-0.3,2.75,4.5,5.6,11.16,16.96,24.43
2011-12-08,1.3341,1.3289,1.3459,1.3412,15.8625,14.48,15.215,15.3925,15.555,15.63,15.705,-1.0075,-2.435,-2.995,-3.405,-3.7675,-3.8975,-4.04,0.2825,0.385,0.475,0.5475,0.6725,0.6975,0.695,-1.735,-4.415,-5.455,-6.2725,-7.0025,-7.35,-7.595,1,1.075,1.3675,1.6075,2.0675,2.105,2.29,-0.2,4.15,6.69,8.54,12.51,17.94,24.98
2011-12-09,1.3386,1.3282,1.3434,1.3341,14.985,13.9775,14.935,15.2225,15.31,15.4,15.465,-1.4225,-2.61,-3.325,-3.575,-3.8425,-3.9825,-4.1125,0.2725,0.3925,0.5,0.5625,0.6675,0.6975,0.7,-2.48,-4.7525,-6.09,-6.6075,-7.165,-7.58,-7.74,0.925,1.0475,1.35,1.5975,2.005,2.085,2.225,0.01,4.96,8.06,10.63,18.04,24.71,33.46
2011-12-12,1.3187,1.3163,1.3386,1.3384,14.495,14.61,15.2125,15.2925,15.4375,15.4925,15.5875,-1.3975,-2.67,-3.32,-3.63,-3.83,-4.0675,-4.075,0.2525,0.3075,0.385,0.45,0.5475,0.7625,0.605,-2.56,-4.675,-6.065,-6.7075,-7.3575,-7.7175,-8.03,0.855,1.11,1.385,1.665,2.1175,2.2675,2.4475,0.41,7.84,11.2,13.77,22.8,32.73,44.61
2011-12-13,1.3037,1.3009,1.3237,1.3187,15.1325,14.8525,15.2525,15.475,15.675,15.775,15.81,-1.445,-2.605,-3.26,-3.51,-3.86,-4.1,-4.105,0.2325,0.305,0.3825,0.445,0.545,0.775,0.595,-2.53,-4.625,-5.925,-6.675,-7.37,-7.76,-8.09,0.8,1.065,1.37,1.7,2.175,2.3075,2.505,0.43,10.3,14.56,18.02,30.45,43,58.67
2011-12-14,1.2983,1.2946,1.3065,1.3037,14.95,15.1125,15.57,15.8325,15.915,16.01,16.075,-1.305,-2.6175,-3.22,-3.5275,-3.865,-4.075,-4.1125,0.6775,0.3325,0.41,0.475,0.585,0.76,0.625,-2.255,-4.66,-5.865,-6.6275,-7.39,-7.695,-7.995,0.8625,1.0675,1.3725,1.6875,2.18,2.265,2.46,0.4,10.6,15.19,19.36,36.96,54.19,72.91
2011-12-15,1.3016,1.2957,1.305,1.2983,12.93,13.54,14.8175,15.1425,15.425,15.575,15.64,-0.64,-2.42,-3.085,-3.3975,-3.835,-4.0575,-4.065,0.245,0.3075,0.375,0.4375,0.545,0.7625,0.595,-1.125,-4.3375,-5.68,-6.4075,-7.375,-7.6775,-7.995,0.9575,1.0225,1.345,1.6625,2.12,2.265,2.44,0.3,7.29,10.72,13.41,26.92,41.44,57.23
2011-12-16,1.3046,1.2995,1.3084,1.3016,11.4,12.5675,13.7175,14.2825,14.775,14.9525,15.1025,-0.4375,-1.85,-2.6775,-3.1225,-3.4975,-3.7275,-3.9,0.2325,0.3275,0.4325,0.52,0.6375,0.7,0.7375,-0.44,-3.43,-4.8425,-5.815,-6.6225,-7.1325,-7.47,0.815,1.0275,1.3125,1.6225,2.0175,2.2175,2.3425,0.07,6.1,9.06,11.9,21.76,36.75,52.1
2011-12-19,1.2998,1.2983,1.3051,1.3023,10.7075,12.7575,13.8175,14.2675,14.8325,15.04,15.16,-0.3125,-1.7825,-2.58,-3.0075,-3.285,-3.4525,-3.625,0.27,0.315,0.4325,0.515,0.5825,0.615,0.6375,-0.54,-3.4525,-4.76,-5.635,-6.21,-6.5775,-6.8975,0.95,1.0225,1.34,1.6125,1.95,2.0575,2.1575,0.03,4.72,6.63,8.24,17.6,32.36,47.08
2011-12-20,1.3082,1.2994,1.3132,1.2998,9.65,12.625,13.66,14.1925,14.775,14.99,15.155,-0.3575,-1.6575,-2.2425,-2.66,-3.14,-3.3275,-3.52,0.215,0.2975,0.3825,0.47,0.57,0.595,0.62,-0.6275,-3.285,-4.07,-4.9525,-5.945,-6.32,-6.6975,0.805,1.0375,1.2625,1.59,1.895,1.99,2.0725,0.14,5.68,8.02,10.51,22.43,37.8,54.85
