Fecha,"EURBRL Curncy PX_LAST","EURBRL Curncy PX_LOW","EURBRL Curncy PX_HIGH","EURBRL Curncy PX_OPEN","EURBRLV1W Curncy PX_LAST","EURBRLV1M Curncy PX_LAST","EURBRLV2M Curncy PX_LAST","EURBRLV3M Curncy PX_LAST","EURBRLV6M Curncy PX_LAST","EURBRLV9M Curncy PX_LAST","EURBRLV1Y Curncy PX_LAST","EURBRL25R1W Curncy PX_LAST","EURBRL25R1M Curncy PX_LAST","EURBRL25R2M Curncy PX_LAST","EURBRL25R3M Curncy PX_LAST","EURBRL25R6M Curncy PX_LAST","EURBRL25R9M Curncy PX_LAST","EURBRL25R1Y Curncy PX_LAST","EURBRL25B1W Curncy PX_LAST","EURBRL25B1M Curncy PX_LAST","EURBRL25B2M Curncy PX_LAST","EURBRL25B3M Curncy PX_LAST","EURBRL25B6M Curncy PX_LAST","EURBRL25B9M Curncy PX_LAST","EURBRL25B1Y Curncy PX_LAST","EURBRL10R1W Curncy PX_LAST","EURBRL10R1M Curncy PX_LAST","EURBRL10R2M Curncy PX_LAST","EURBRL10R3M Curncy PX_LAST","EURBRL10R6M Curncy PX_LAST","EURBRL10R9M Curncy PX_LAST","EURBRL10R1Y Curncy PX_LAST","EURBRL10B1W Curncy PX_LAST","EURBRL10B1M Curncy PX_LAST","EURBRL10B2M Curncy PX_LAST","EURBRL10B3M Curncy PX_LAST","EURBRL10B6M Curncy PX_LAST","EURBRL10B9M Curncy PX_LAST","EURBRL10B1Y Curncy PX_LAST","EURBRL1W Curncy PX_LAST","EURBRL1M Curncy PX_LAST","EURBRL2M Curncy PX_LAST","EURBRL3M Curncy PX_LAST","EURBRL6M Curncy PX_LAST","EURBRL9M Curncy PX_LAST","EURBRL12M Curncy PX_LAST"
2013-05-07,2.6261,2.6207,2.6425,2.6358,8.825,9.583,9.852,10.327,11.03,11.4575,11.837,0.5175,0.9375,1.1475,1.5125,2.24,2.5925,2.895,0.2625,0.3575,0.44,0.54,0.6425,0.73,0.805,0.92,1.7475,2.0725,2.805,4.27,5.035,5.62,1.1425,1.1675,1.465,1.8225,2.22,2.6625,3.0975,33.1,135.33,248.07,378.2,800.75,1217.37,1606.73
2013-05-08,2.6373,2.6321,2.6432,2.6391,9.155,9.545,9.892,10.297,10.903,11.375,11.782,0.515,0.985,1.1825,1.525,2.24,2.585,2.885,0.275,0.36,0.45,0.54,0.6425,0.73,0.8,0.9075,1.76,2.13,2.83,4.2675,5.005,5.575,1.22,1.1725,1.4875,1.815,2.205,2.64,3.0625,31.95,123.72,243.79,378.72,773.75,1216.76,1623.46
2013-05-09,2.6259,2.6113,2.6385,2.6359,8.995,9.443,9.702,9.91,10.622,11.2125,11.67,0.5325,0.93,1.165,1.5025,2.2475,2.6,2.9025,0.2725,0.355,0.45,0.5375,0.68,0.735,0.8125,0.985,1.645,2.09,2.76,4.2625,5.0125,5.5925,1.3225,1.2,1.535,1.845,2.24,2.69,3.1175,31.8,131.03,258.19,372.96,798,1203.17,1592.22
2013-05-10,2.6252,2.6148,2.6318,2.6153,8.468,9.62,9.898,10.142,10.767,11.255,11.725,0.56,0.985,1.215,1.565,2.3,2.6625,2.9425,0.2375,0.355,0.445,0.545,0.65,0.73,0.8025,1.025,1.7025,2.1325,2.8175,4.3025,5.0825,5.61,1.295,1.25,1.575,1.9025,2.26,2.6925,3.12,31.45,130.3,256.74,370.7,772.95,1191.51,1577.86
2013-05-13,2.6054,2.6026,2.6245,2.6241,9.693,9.565,9.882,10.118,10.75,11.2375,11.705,0.5925,0.995,1.2275,1.5775,2.285,2.6525,2.91,0.27,0.36,0.445,0.5425,0.6375,0.7225,0.7925,1.095,1.72,2.16,2.835,4.2825,5.04,5.545,1.5825,1.2425,1.5575,1.8875,2.235,2.66,3.0675,31.45,142.05,253.66,384.91,781.55,1247.9,1650.96
2013-05-14,2.6101,2.5965,2.6152,2.6055,9.148,9.5,9.608,10.02,10.718,11.2575,11.7,0.6325,0.965,1.1925,1.56,2.285,2.665,2.935,0.26,0.3575,0.4375,0.5475,0.6425,0.7325,0.805,1.16,1.6975,2.1075,2.8275,4.3075,5.0975,5.635,1.4125,1.2575,1.5575,1.9075,2.27,2.705,3.1375,31.5,141.72,253.21,384.21,776.2,1244.17,1645.15
2013-05-15,2.607,2.5917,2.6182,2.5954,9.67,9.983,10.167,10.375,10.942,11.4025,11.833,0.6475,0.9825,1.21,1.56,2.29,2.67,2.9525,0.2775,0.3575,0.4475,0.5475,0.645,0.735,0.815,1.19,1.7125,2.14,2.8275,4.32,5.115,5.665,1.4425,1.2625,1.5875,1.9175,2.2775,2.715,3.16,35.1,133.5,261.59,393.76,798.45,1237.29,1668.9
2013-05-16,2.6101,2.6041,2.6264,2.6041,10.938,10.038,10.24,10.435,11.04,11.44,11.852,0.6175,0.9825,1.23,1.565,2.295,2.68,2.9825,-1.6325,0.3525,0.445,0.535,0.6425,0.7325,0.805,1.13,1.695,2.1275,2.7975,4.31,5.11,5.6725,-0.5075,1.2125,1.5575,1.9,2.275,2.7175,3.155,35.45,145.83,271.01,397.82,820.3,1271.55,1698.77
2013-05-17,2.6131,2.6005,2.6166,2.6095,9.36,10.185,10.405,10.577,11.105,11.5,11.927,0.59,0.985,1.25,1.585,2.2975,2.6775,2.9725,0.2525,0.3525,0.445,0.535,0.64,0.7275,0.7925,1.0825,1.7025,2.155,2.8275,4.3,5.08,5.62,1.32,1.2075,1.55,1.8925,2.2525,2.6975,3.12,26.65,149.96,270.55,410.17,815.85,1289.48,1714.99
2013-05-20,2.6287,2.6048,2.6307,2.619,10.085,10.25,10.403,10.625,11.13,11.5675,12.007,0.6075,0.985,1.225,1.575,2.2825,2.655,2.925,0.25,0.355,0.445,0.54,0.64,0.72,0.7875,1.0725,1.76,2.2125,2.9,4.3425,5.1275,5.665,1.2275,1.175,1.49,1.815,2.21,2.64,3.06,43.95,150.44,270.51,410.48,810.7,1290.86,1711.77
